#,timestamp,tx,ty,tz,qx,qy,qz,qw
1544591459.26184,0.9699101014,0.9210588606,0,0,0,-0.0459402797,0.998944188,
1544591532.87459,3.6730858028,-0.7704465906,0,0,0,-0.1835283558,0.9830144163,
1544591534.70566,0.5432274451,4.1944654852,0,0,0,0.9044842863,0.4265069471,
1544591535.73772,-3.1683546188,8.1110209381,0,0,0,0.9370689026,0.3491444854,
1544591536.76879,-8.0305567427,10.5095223252,0,0,0,0.9805174782,0.1964318585,
1544591537.72079,-4.6974600657,4.0628344501,0,0,0,-0.5166915142,0.8561716412,
1544591538.75256,-7.1471494955,3.3364048825,0,0,0,-0.8734420752,0.4869280657,
1544591539.78579,-2.9902277565,0.3455244526,0,0,0,0.0952346179,0.9954548546,
1544591544.78367,0.6245873345,0.9204915714,0,0,0,-0.0672825151,0.9977339641,
1544591575.66391,0.7516919776,0.886339926,0,0,0,-0.1787256161,0.9838989553,
1544591576.05724,0.8927686477,0.8142163182,0,0,0,-0.2995554671,0.9540788867,
1544591576.37595,0.9992352188,0.7246155287,0,0,0,-0.3940835431,0.9190746221,
1544591576.77561,1.117354453,0.5671035522,0,0,0,-0.500766034,0.8655826819,
1544591577.16866,1.1960923687,0.3899580305,0,0,0,-0.5871762167,0.8094591346,
1544591577.80121,1.2589909267,0.1346262327,0,0,0,-0.6234021644,0.781901363,
1544591578.35391,1.3410200932,-0.132100911,0,0,0,-0.5487132758,0.8360106106,
1544591578.83488,1.4545358757,-0.3364364093,0,0,0,-0.4611561033,0.8873190229,
1544591579.38635,1.6326412544,-0.5428183526,0,0,0,-0.3604552009,0.9327765264,
1544591580.02534,1.8919399644,-0.7257435324,0,0,0,-0.2543559235,0.9671106784,
1544591580.5772,2.1401760854,-0.8424018507,0,0,0,-0.1753379815,0.9845082997,
1544591581.13658,2.4103959054,-0.9153059672,0,0,0,-0.1062899921,0.9943351737,
1544591581.68929,2.6777822519,-0.9492066979,0,0,0,-0.0324242622,0.9994741954,
1544591582.24909,2.9661711641,-0.9242005527,0,0,0,0.0411558229,0.9991527402,
1544591582.80117,3.2248838632,-0.8771209751,0,0,0,0.0759472324,0.9971118382,
1544591583.83208,3.4843014215,-0.8122102586,0,0,0,0.0888983457,0.9960407041,
1544591584.79047,3.5607347217,-0.7770526883,0,0,0,-0.0104378306,0.9999455244,
1544591585.42293,3.5712732127,-0.7529480938,0,0,0,-0.1116319324,0.9937496222,
1544591592.24609,3.5724686328,-0.7317140695,0,0,0,0.019774184,0.9998044717,
