time,u,v,depth
1583922004.5750000477,453,169,1.5596649646759033203
1583922004.6840000153,453,168,1.550135493278503418
1583922004.8050000668,453,169,1.5667221546173095703
1583922004.9230000973,453,169,1.5422966480255126953
1583922005.0439999104,453,169,1.5422966480255126953
1583922005.1630001068,453,168,1.550135493278503418
1583922005.2839999199,453,169,1.5596649646759033203
1583922005.4059998989,453,168,1.5363870859146118164
1583922005.5239999294,453,168,1.5363870859146118164
1583922005.6440000534,453,168,1.5228803157806396484
1583922005.7660000324,453,169,1.5491974353790283203
1583922005.8840000629,453,169,1.5219587087631225586
1583922006.0039999485,453,168,1.5466754436492919922
1583922006.1229999065,453,168,1.5432305335998535156
1583922006.2430000305,453,168,1.550135493278503418
1583922006.3629999161,453,169,1.5596649646759033203
1583922006.4849998951,453,168,1.5536110401153564453
1583922006.6040000916,453,169,1.5422966480255126953
1583922006.7239999771,453,168,1.5398012399673461914
1583922006.8440001011,453,169,1.5422966480255126953
1583922006.9639999866,453,168,1.5432305335998535156
1583922007.0840001106,453,169,1.5320601463317871094
