点名,X坐标,Y坐标,H高程,日期,时间
TS0001,-0.0000,-0.0000,0.0000,2019-11-12,16:59:35.600
TS0002,8.7428,0.0000,-0.4252,2019-11-12,16:59:40.890
TS,0.2739,6.4022,0.7485,2019-11-12,16:59:43.740
TS_Auto_10,4.1189,1.0940,-0.2956,2019-11-12,17:03:57.010
TS_Auto_10,4.1194,1.0940,-0.2955,2019-11-12,17:03:57.250
TS_Auto_10,4.1193,1.0941,-0.2956,2019-11-12,17:03:57.390
TS_Auto_10,4.1193,1.0942,-0.2955,2019-11-12,17:03:57.540
TS_Auto_10,4.1201,1.0948,-0.2956,2019-11-12,17:03:57.670
TS_Auto_10,4.1193,1.0941,-0.2956,2019-11-12,17:03:57.840
TS_Auto_10,4.1191,1.0942,-0.2956,2019-11-12,17:03:57.950
TS_Auto_10,4.1195,1.0944,-0.2956,2019-11-12,17:03:58.070
TS_Auto_10,4.1188,1.0942,-0.2956,2019-11-12,17:03:58.180
TS_Auto_10,4.1188,1.0943,-0.2956,2019-11-12,17:03:58.300
TS_Auto_10,4.1193,1.0942,-0.2956,2019-11-12,17:03:58.460
TS_Auto_10,4.1192,1.0940,-0.2956,2019-11-12,17:03:58.590
TS_Auto_10,4.1190,1.0943,-0.2956,2019-11-12,17:03:58.860
TS_Auto_10,4.1190,1.0943,-0.2956,2019-11-12,17:03:59.080
TS_Auto_10,4.1191,1.0942,-0.2955,2019-11-12,17:03:59.200
TS_Auto_10,4.1199,1.0938,-0.2957,2019-11-12,17:03:59.370
TS_Auto_10,4.1196,1.0938,-0.2956,2019-11-12,17:03:59.500
TS_Auto_10,4.1184,1.0939,-0.2956,2019-11-12,17:03:59.610
TS_Auto_10,4.1192,1.0935,-0.2957,2019-11-12,17:03:59.740
TS_Auto_10,4.1195,1.0939,-0.2957,2019-11-12,17:03:59.840
TS_Auto_10,4.1189,1.0939,-0.2956,2019-11-12,17:03:60.000
TS_Auto_10,4.1192,1.0941,-0.2956,2019-11-12,17:04:0.110
TS_Auto_10,4.1193,1.0937,-0.2956,2019-11-12,17:04:0.270
TS_Auto_10,4.1193,1.0942,-0.2956,2019-11-12,17:04:0.430
TS_Auto_10,4.1188,1.0942,-0.2956,2019-11-12,17:04:0.560
TS_Auto_10,4.1188,1.0941,-0.2956,2019-11-12,17:04:0.660
TS_Auto_10,4.1188,1.0941,-0.2956,2019-11-12,17:04:0.770
TS_Auto_10,4.1188,1.0941,-0.2956,2019-11-12,17:04:0.880
TS_Auto_10,4.1193,1.0941,-0.2957,2019-11-12,17:04:1.030
TS_Auto_10,4.1192,1.0940,-0.2957,2019-11-12,17:04:1.160
TS_Auto_10,4.1193,1.0942,-0.2956,2019-11-12,17:04:1.460
TS_Auto_10,4.1192,1.0941,-0.2956,2019-11-12,17:04:1.560
TS_Auto_10,4.1192,1.0941,-0.2956,2019-11-12,17:04:1.700
TS_Auto_10,4.1192,1.0941,-0.2956,2019-11-12,17:04:1.810
TS_Auto_10,4.1190,1.0941,-0.2956,2019-11-12,17:04:1.920
TS_Auto_10,4.1190,1.0941,-0.2956,2019-11-12,17:04:2.060
TS_Auto_10,4.1190,1.0941,-0.2956,2019-11-12,17:04:2.180
TS_Auto_10,4.1191,1.0940,-0.2955,2019-11-12,17:04:2.330
TS_Auto_10,4.1187,1.0947,-0.2956,2019-11-12,17:04:2.440
TS_Auto_10,4.1186,1.0946,-0.2956,2019-11-12,17:04:2.560
TS_Auto_10,4.1186,1.0941,-0.2957,2019-11-12,17:04:2.670
TS_Auto_10,4.1188,1.0942,-0.2956,2019-11-12,17:04:2.780
TS_Auto_10,4.1188,1.0942,-0.2956,2019-11-12,17:04:2.910
TS_Auto_10,4.1190,1.0941,-0.2956,2019-11-12,17:04:3.040
TS_Auto_10,4.1190,1.0941,-0.2956,2019-11-12,17:04:3.150
TS_Auto_10,4.1189,1.0942,-0.2956,2019-11-12,17:04:3.400
TS_Auto_10,4.1189,1.0941,-0.2956,2019-11-12,17:04:3.530
TS_Auto_10,4.1189,1.0941,-0.2956,2019-11-12,17:04:3.680
TS_Auto_10,4.1189,1.0941,-0.2956,2019-11-12,17:04:3.830
TS_Auto_10,4.1190,1.0941,-0.2956,2019-11-12,17:04:3.960
TS_Auto_10,4.1189,1.0943,-0.2956,2019-11-12,17:04:4.080
TS_Auto_10,4.1186,1.0940,-0.2956,2019-11-12,17:04:4.190
TS_Auto_10,4.1191,1.0941,-0.2956,2019-11-12,17:04:4.300
TS_Auto_10,4.1191,1.0941,-0.2956,2019-11-12,17:04:4.560
TS_Auto_10,4.1190,1.0946,-0.2956,2019-11-12,17:04:4.700
TS_Auto_10,4.1190,1.0941,-0.2956,2019-11-12,17:04:4.810
TS_Auto_10,4.1189,1.0941,-0.2957,2019-11-12,17:04:4.940
TS_Auto_10,4.1189,1.0941,-0.2956,2019-11-12,17:04:5.040
TS_Auto_10,4.1189,1.0941,-0.2956,2019-11-12,17:04:5.240
TS_Auto_10,4.1189,1.0942,-0.2956,2019-11-12,17:04:5.360
TS_Auto_10,4.1189,1.0941,-0.2957,2019-11-12,17:04:5.490
TS_Auto_10,4.1189,1.0940,-0.2956,2019-11-12,17:04:5.610
TS_Auto_10,4.1202,1.0950,-0.2957,2019-11-12,17:04:5.740
