点名,X坐标,Y坐标,H高程,日期,时间
TS0001,0.0000,0.0000,0.0000,2019-11-12,16:19:2.440
TS0002,9.6523,0.0000,-0.2078,2019-11-12,16:19:31.850
TS,3.6764,5.8636,1.0948,2019-11-12,16:19:36.280
TS_Auto_88,4.9904,-0.5682,0.0510,2019-11-12,16:22:23.690
TS_Auto_88,4.9905,-0.5680,0.0510,2019-11-12,16:22:23.870
TS_Auto_88,4.9903,-0.5680,0.0510,2019-11-12,16:22:24.070
TS_Auto_89,4.9902,-0.5679,0.0510,2019-11-12,16:22:24.210
TS_Auto_89,4.9903,-0.5680,0.0510,2019-11-12,16:22:24.310
TS_Auto_89,4.9896,-0.5688,0.0510,2019-11-12,16:22:24.500
TS_Auto_89,4.9911,-0.5687,0.0509,2019-11-12,16:22:24.720
TS_Auto_89,4.9907,-0.5683,0.0510,2019-11-12,16:22:24.870
TS_Auto_89,4.9907,-0.5683,0.0510,2019-11-12,16:22:25.060
TS_Auto_89,4.9907,-0.5683,0.0510,2019-11-12,16:22:25.260
TS_Auto_89,4.9909,-0.5684,0.0510,2019-11-12,16:22:25.380
TS_Auto_89,4.9909,-0.5683,0.0511,2019-11-12,16:22:25.510
TS_Auto_89,4.9907,-0.5684,0.0510,2019-11-12,16:22:25.650
TS_Auto_89,4.9907,-0.5684,0.0509,2019-11-12,16:22:25.760
TS_Auto_89,4.9907,-0.5684,0.0509,2019-11-12,16:22:25.870
TS_Auto_89,4.9911,-0.5682,0.0510,2019-11-12,16:22:26.070
TS_Auto_89,4.9907,-0.5682,0.0510,2019-11-12,16:22:26.250
TS_Auto_89,4.9907,-0.5682,0.0510,2019-11-12,16:22:26.350
TS_Auto_89,4.9915,-0.5678,0.0510,2019-11-12,16:22:26.490
TS_Auto_89,4.9905,-0.5683,0.0510,2019-11-12,16:22:26.690
TS_Auto_89,4.9907,-0.5682,0.0510,2019-11-12,16:22:26.870
TS_Auto_89,4.9907,-0.5682,0.0510,2019-11-12,16:22:26.980
