点名,X坐标,Y坐标,H高程,日期,时间
TS0001,-0.0000,0.0000,0.0000,2019-11-12,15:58:39.890
TS0002,10.5717,0.0000,-0.2017,2019-11-12,15:58:46.950
TS,4.1864,5.8429,1.0941,2019-11-12,15:58:50.250
TS_Auto_75,4.5710,-0.7086,0.0504,2019-11-12,15:59:24.960
TS_Auto_75,4.5710,-0.7085,0.0504,2019-11-12,15:59:25.110
TS_Auto_75,4.5710,-0.7087,0.0503,2019-11-12,15:59:25.220
TS_Auto_75,4.5710,-0.7086,0.0503,2019-11-12,15:59:25.370
TS_Auto_75,4.5713,-0.7090,0.0503,2019-11-12,15:59:25.540
TS_Auto_75,4.5708,-0.7082,0.0507,2019-11-12,15:59:25.650
TS_Auto_75,4.5711,-0.7090,0.0504,2019-11-12,15:59:25.820
TS_Auto_75,4.5712,-0.7083,0.0505,2019-11-12,15:59:25.930
TS_Auto_76,4.5709,-0.7082,0.0504,2019-11-12,15:59:26.100
TS_Auto_76,4.5716,-0.7090,0.0503,2019-11-12,15:59:26.210
TS_Auto_76,4.5713,-0.7090,0.0503,2019-11-12,15:59:26.330
TS_Auto_76,4.5713,-0.7090,0.0503,2019-11-12,15:59:26.460
TS_Auto_76,4.5710,-0.7083,0.0505,2019-11-12,15:59:26.730
TS_Auto_76,4.5724,-0.7092,0.0502,2019-11-12,15:59:26.850
TS_Auto_76,4.5714,-0.7083,0.0505,2019-11-12,15:59:26.980
TS_Auto_76,4.5712,-0.7086,0.0505,2019-11-12,15:59:27.140
TS_Auto_76,4.5708,-0.7089,0.0504,2019-11-12,15:59:27.270
TS_Auto_76,4.5713,-0.7091,0.0503,2019-11-12,15:59:27.500
TS_Auto_76,4.5712,-0.7085,0.0505,2019-11-12,15:59:27.670
TS_Auto_76,4.5712,-0.7085,0.0505,2019-11-12,15:59:27.800
TS_Auto_76,4.5709,-0.7087,0.0504,2019-11-12,15:59:27.940
TS_Auto_76,4.5709,-0.7088,0.0503,2019-11-12,15:59:28.050
TS_Auto_76,4.5709,-0.7087,0.0503,2019-11-12,15:59:28.160
TS_Auto_76,4.5711,-0.7085,0.0504,2019-11-12,15:59:28.290
TS_Auto_76,4.5710,-0.7086,0.0504,2019-11-12,15:59:28.400
TS_Auto_76,4.5712,-0.7092,0.0503,2019-11-12,15:59:28.520
TS_Auto_76,4.5713,-0.7090,0.0503,2019-11-12,15:59:28.630
TS_Auto_76,4.5712,-0.7090,0.0503,2019-11-12,15:59:28.800
TS_Auto_76,4.5712,-0.7089,0.0503,2019-11-12,15:59:28.910
TS_Auto_76,4.5712,-0.7089,0.0503,2019-11-12,15:59:29.030
TS_Auto_76,4.5712,-0.7090,0.0503,2019-11-12,15:59:29.150
TS_Auto_76,4.5712,-0.7090,0.0503,2019-11-12,15:59:29.270
TS_Auto_76,4.5711,-0.7090,0.0503,2019-11-12,15:59:29.470
