点名,X坐标,Y坐标,H高程,日期,时间
TS0001,-0.0000,0.0000,0.0000,2019-11-13,11:33:16.980
TS0002,27.2948,-0.0000,0.0119,2019-11-13,11:33:21.570
TS,13.7183,8.3370,1.5254,2019-11-13,11:33:25.330
TS_Auto_13,5.2625,-0.9357,0.2685,2019-11-13,11:34:2.130
TS_Auto_13,5.2625,-0.9357,0.2685,2019-11-13,11:34:2.370
TS_Auto_13,5.2624,-0.9352,0.2685,2019-11-13,11:34:2.520
TS_Auto_13,5.2624,-0.9351,0.2684,2019-11-13,11:34:2.680
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:2.840
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:2.950
TS_Auto_13,5.2624,-0.9351,0.2684,2019-11-13,11:34:3.060
TS_Auto_13,5.2625,-0.9351,0.2684,2019-11-13,11:34:3.240
TS_Auto_13,5.2625,-0.9351,0.2684,2019-11-13,11:34:3.400
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:3.510
TS_Auto_13,5.2625,-0.9350,0.2684,2019-11-13,11:34:3.610
TS_Auto_13,5.2624,-0.9351,0.2684,2019-11-13,11:34:3.720
TS_Auto_13,5.2625,-0.9351,0.2683,2019-11-13,11:34:3.850
TS_Auto_13,5.2625,-0.9351,0.2683,2019-11-13,11:34:3.970
TS_Auto_13,5.2623,-0.9352,0.2684,2019-11-13,11:34:4.110
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:4.290
TS_Auto_13,5.2624,-0.9351,0.2685,2019-11-13,11:34:4.420
TS_Auto_13,5.2624,-0.9352,0.2685,2019-11-13,11:34:4.530
TS_Auto_13,5.2625,-0.9351,0.2684,2019-11-13,11:34:4.630
TS_Auto_13,5.2624,-0.9352,0.2683,2019-11-13,11:34:4.770
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:4.880
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:5.010
TS_Auto_13,5.2624,-0.9351,0.2684,2019-11-13,11:34:5.140
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:5.250
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:5.360
TS_Auto_13,5.2625,-0.9351,0.2684,2019-11-13,11:34:5.500
TS_Auto_13,5.2625,-0.9351,0.2684,2019-11-13,11:34:5.620
TS_Auto_13,5.2625,-0.9351,0.2684,2019-11-13,11:34:5.750
TS_Auto_13,5.2625,-0.9351,0.2684,2019-11-13,11:34:5.850
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:6.280
TS_Auto_13,5.2624,-0.9352,0.2684,2019-11-13,11:34:6.440
TS_Auto_13,5.2625,-0.9350,0.2684,2019-11-13,11:34:6.570
