%time,field.header.seq,field.header.stamp,field.header.frame_id,field.head,field.timeUTC,field.latitude,field.northOrSouth,field.longitude,field.eastOrWest,field.GPSstatus,field.satelliteNum,field.HDOP,field.altitude,field.altitudeUnit,field.geiod,field.geiodUnit,field.rtkAge,field.rtkID
1571649780065198650,22,1571649780064854383,/GNSS,$GPGGA,1380.0,31.162817,N,121.307290167,E,5,8,1.33,7.1,M,9.5,M,1,.0
1571649781064971503,23,1571649781064795971,/GNSS,$GPGGA,1381.0,31.1628168333,N,121.307289833,E,2,8,1.33,7.1,M,9.5,M,1,.0
1571649782064980396,24,1571649782064797401,/GNSS,$GPGGA,1382.0,31.1628161667,N,121.307286667,E,2,8,1.33,7.1,M,9.5,M,1,.0
1571649783065007901,25,1571649783064790726,/GNSS,$GPGGA,1383.0,31.1628151667,N,121.3072835,E,2,8,1.33,7.0,M,9.5,M,1,.0
1571649784064935076,26,1571649784064803362,/GNSS,$GPGGA,1384.0,31.162814,N,121.307279833,E,2,8,1.25,6.9,M,9.5,M,1,.0
1571649785064941445,27,1571649785064778805,/GNSS,$GPGGA,1385.0,31.1628128333,N,121.307276,E,2,8,1.25,6.9,M,9.5,M,1,.0
1571649786064971760,28,1571649786064797640,/GNSS,$GPGGA,1386.0,31.1628118333,N,121.307272167,E,2,8,1.25,6.9,M,9.5,M,1,.0
1571649787065225093,29,1571649787064876795,/GNSS,$GPGGA,1387.0,31.1628108333,N,121.307267833,E,2,8,1.25,7.0,M,9.5,M,1,.0
1571649788064933553,30,1571649788064783335,/GNSS,$GPGGA,1388.0,31.1628096667,N,121.307263833,E,2,8,1.25,7.0,M,9.5,M,1,.0
1571649789065009245,31,1571649789064812899,/GNSS,$GPGGA,1389.0,31.1628075,N,121.307259667,E,2,9,1.45,7.1,M,9.5,M,1,.0
1571649790065121567,32,1571649790064848661,/GNSS,$GPGGA,1390.0,31.1628061667,N,121.307255333,E,2,9,1.35,7.1,M,9.5,M,1,.0
1571649791065265460,33,1571649791064834356,/GNSS,$GPGGA,1391.0,31.1628045,N,121.307251167,E,2,9,1.4,7.2,M,9.5,M,1,.0
1571649792064974709,34,1571649792064814568,/GNSS,$GPGGA,1392.0,31.1628026667,N,121.307247167,E,2,9,1.45,7.1,M,9.5,M,1,.0
1571649793065149552,35,1571649793064851999,/GNSS,$GPGGA,1393.0,31.162801,N,121.307242167,E,2,9,1.45,7.2,M,9.5,M,1,.0
1571649794065332818,36,1571649794064904928,/GNSS,$GPGGA,1394.0,31.1627996667,N,121.307238167,E,2,9,1.45,7.2,M,9.5,M,1,.0
1571649795065080450,37,1571649795064838648,/GNSS,$GPGGA,1395.0,31.1627983333,N,121.307234,E,2,9,1.45,7.2,M,9.5,M,1,.0
1571649796064973023,38,1571649796064802408,/GNSS,$GPGGA,1396.0,31.1627966667,N,121.3072295,E,2,9,1.35,7.3,M,9.5,M,1,.0
1571649797065004872,39,1571649797064843178,/GNSS,$GPGGA,1397.0,31.1627948333,N,121.307225167,E,2,9,1.45,7.4,M,9.5,M,1,.0
1571649798064915932,40,1571649798064804077,/GNSS,$GPGGA,1398.0,31.162793,N,121.307221167,E,2,9,1.45,7.4,M,9.5,M,1,.0
1571649799064971199,41,1571649799064775229,/GNSS,$GPGGA,1399.0,31.1627923333,N,121.307217,E,2,9,1.85,7.4,M,9.5,M,1,.0
1571649800064968494,42,1571649800064783573,/GNSS,$GPGGA,1400.0,31.1627908333,N,121.3072125,E,2,9,1.85,7.4,M,9.5,M,1,.0
1571649801064987845,43,1571649801064767599,/GNSS,$GPGGA,1401.0,31.1627893333,N,121.307208833,E,2,9,1.45,7.4,M,9.5,M,1,.0
1571649802064966443,44,1571649802064798832,/GNSS,$GPGGA,1402.0,31.162788,N,121.307205167,E,2,9,1.45,7.4,M,9.5,M,1,.0
1571649803064954498,45,1571649803064790249,/GNSS,$GPGGA,1403.0,31.1627851667,N,121.307197667,E,2,9,1.45,7.3,M,9.5,M,1,.0
1571649804064876871,46,1571649804064768553,/GNSS,$GPGGA,1404.0,31.1627816667,N,121.307187667,E,2,9,1.45,7.4,M,9.5,M,1,.0
1571649805064914312,47,1571649805064787626,/GNSS,$GPGGA,1405.0,31.1627781667,N,121.307178333,E,2,9,1.45,7.4,M,9.5,M,1,.0
1571649806065005269,48,1571649806064791918,/GNSS,$GPGGA,1406.0,31.162775,N,121.307170667,E,2,9,1.45,7.3,M,9.5,M,1,.0
1571649807064897701,49,1571649807064773083,/GNSS,$GPGGA,1407.0,31.162771,N,121.307162167,E,2,8,1.45,7.3,M,9.5,M,1,.0
1571649808064931760,50,1571649808064768791,/GNSS,$GPGGA,1408.0,31.162767,N,121.307155,E,5,8,1.45,7.1,M,9.5,M,1,.0
1571649809065030499,51,1571649809064825058,/GNSS,$GPGGA,1409.0,31.162763,N,121.307147333,E,5,9,1.45,7.0,M,9.5,M,1,.0
1571649810064896161,52,1571649810064782619,/GNSS,$GPGGA,1410.0,31.1627591667,N,121.307138667,E,2,9,1.45,6.9,M,9.5,M,1,.0
1571649811065041843,53,1571649811064800262,/GNSS,$GPGGA,1411.0,31.1627551667,N,121.3071295,E,2,9,1.45,7.0,M,9.5,M,1,.0
1571649812065030333,54,1571649812064818382,/GNSS,$GPGGA,1412.0,31.1627511667,N,121.307120167,E,5,9,1.45,6.9,M,9.5,M,1,.0
1571649813065234612,55,1571649813064879417,/GNSS,$GPGGA,1413.0,31.1627473333,N,121.307111,E,5,9,1.45,6.9,M,9.5,M,1,.0
1571649814065316748,56,1571649814064888477,/GNSS,$GPGGA,1414.0,31.1627433333,N,121.307102167,E,5,8,1.45,6.9,M,9.5,M,1,.0
1571649815064971346,57,1571649815064811707,/GNSS,$GPGGA,1415.0,31.1627395,N,121.307093167,E,5,8,1.45,6.9,M,9.5,M,1,.0
1571649816065011278,58,1571649816064803362,/GNSS,$GPGGA,1416.0,31.1627353333,N,121.307084,E,5,8,1.45,6.9,M,9.5,M,1,.0
1571649817065005743,59,1571649817064872742,/GNSS,$GPGGA,1417.0,31.1627318333,N,121.307075,E,2,8,1.45,6.8,M,9.5,M,1,.0
1571649818064964724,60,1571649818064802647,/GNSS,$GPGGA,1418.0,31.162728,N,121.307066,E,2,8,1.45,6.9,M,9.5,M,1,.0
1571649819065288061,61,1571649819064881802,/GNSS,$GPGGA,1419.0,31.1627236667,N,121.307056667,E,2,8,1.45,6.9,M,9.5,M,1,.0
1571649820064948858,62,1571649820064797640,/GNSS,$GPGGA,1420.0,31.1627196667,N,121.307047167,E,2,9,1.45,6.9,M,9.5,M,1,.0
1571649821065004894,63,1571649821064795732,/GNSS,$GPGGA,1421.0,31.1627165,N,121.307037833,E,2,8,1.45,6.8,M,9.5,M,1,.0
1571649822064997361,64,1571649822064795494,/GNSS,$GPGGA,1422.0,31.1627141667,N,121.307028833,E,2,8,1.45,6.8,M,9.5,M,1,.0
1571649823064957201,65,1571649823064787865,/GNSS,$GPGGA,1423.0,31.1627135,N,121.307020167,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649824064889673,66,1571649824064768553,/GNSS,$GPGGA,1424.0,31.1627131667,N,121.307011167,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649825064967037,67,1571649825064801693,/GNSS,$GPGGA,1425.0,31.1627133333,N,121.307002167,E,2,8,1.45,6.6,M,9.5,M,1,.0
1571649826065053404,68,1571649826064842224,/GNSS,$GPGGA,1426.0,31.1627146667,N,121.306992667,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649827064891105,69,1571649827064773321,/GNSS,$GPGGA,1427.0,31.1627168333,N,121.306983333,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649828064899580,70,1571649828064808607,/GNSS,$GPGGA,1428.0,31.1627196667,N,121.3069745,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649829064995858,71,1571649829064800262,/GNSS,$GPGGA,1429.0,31.1627235,N,121.3069665,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649830064953288,72,1571649830064796448,/GNSS,$GPGGA,1430.0,31.162727,N,121.3069585,E,2,8,1.35,6.7,M,9.5,M,1,.0
1571649831064941193,73,1571649831064773083,/GNSS,$GPGGA,1431.0,31.1627316667,N,121.306950333,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649832065016722,74,1571649832064800262,/GNSS,$GPGGA,1432.0,31.1627365,N,121.306943167,E,2,8,1.45,6.7,M,9.5,M,1,.0
1571649833064987165,75,1571649833064787865,/GNSS,$GPGGA,1433.0,31.1627416667,N,121.306939167,E,2,8,1.35,6.6,M,9.5,M,1,.0
1571649834064968610,76,1571649834064776897,/GNSS,$GPGGA,1434.0,31.1627483333,N,121.306934167,E,2,9,1.62,6.6,M,9.5,M,1,.0
1571649835065318958,77,1571649835064836264,/GNSS,$GPGGA,1435.0,31.1627561667,N,121.306929,E,2,9,1.62,6.5,M,9.5,M,1,.0
