%time,field.header.seq,field.header.stamp,field.header.frame_id,field.head,field.timeUTC,field.latitude,field.northOrSouth,field.longitude,field.eastOrWest,field.GPSstatus,field.satelliteNum,field.HDOP,field.altitude,field.altitudeUnit,field.geiod,field.geiodUnit,field.rtkAge,field.rtkID
1571900604007621746,9,1571900604007375717,/GNSS,$GPGGA,204.0,31.1627458333,N,121.3073625,E,5,12,1.01,6.8,M,9.5,M,1,.0
1571900605027478844,10,1571900605027338266,/GNSS,$GPGGA,205.0,31.1627456667,N,121.307362667,E,5,12,0.84,6.8,M,9.5,M,1,.0
1571900606007446345,11,1571900606007297039,/GNSS,$GPGGA,206.0,31.1627435,N,121.307361667,E,5,12,0.84,6.8,M,9.5,M,1,.0
1571900607027490129,12,1571900607027321100,/GNSS,$GPGGA,207.0,31.16274,N,121.307360833,E,5,12,0.73,6.9,M,9.5,M,1,.0
1571900608027508184,13,1571900608027346611,/GNSS,$GPGGA,208.0,31.1627343333,N,121.307361,E,5,12,0.73,7.0,M,9.5,M,1,.0
1571900609027462882,14,1571900609027322531,/GNSS,$GPGGA,209.0,31.1627296667,N,121.307365,E,5,12,0.72,7.0,M,9.5,M,1,.0
1571900610007482758,15,1571900610007336617,/GNSS,$GPGGA,210.0,31.1627275,N,121.307372,E,5,12,0.72,7.1,M,9.5,M,1,.0
1571900611027481178,16,1571900611027334690,/GNSS,$GPGGA,211.0,31.1627275,N,121.30738,E,5,12,0.72,7.0,M,9.5,M,1,.0
1571900612027624524,17,1571900612027397633,/GNSS,$GPGGA,212.0,31.1627308333,N,121.307386167,E,5,12,0.75,7.0,M,9.5,M,1,.0
1571900613027528136,18,1571900613027381897,/GNSS,$GPGGA,213.0,31.1627371667,N,121.3073905,E,5,12,0.72,7.0,M,9.5,M,1,.0
1571900614027492669,19,1571900614027333975,/GNSS,$GPGGA,214.0,31.1627441667,N,121.307393167,E,5,12,0.73,7.0,M,9.5,M,1,.0
1571900615027822370,20,1571900615027427197,/GNSS,$GPGGA,215.0,31.162751,N,121.307393333,E,5,12,0.76,7.0,M,9.5,M,1,.0
1571900616027434413,21,1571900616027319908,/GNSS,$GPGGA,216.0,31.1627575,N,121.307390833,E,5,12,0.72,6.9,M,9.5,M,1,.0
1571900617027506524,22,1571900617027328730,/GNSS,$GPGGA,217.0,31.1627635,N,121.307385333,E,5,12,0.72,6.8,M,9.5,M,1,.0
1571900618027446824,23,1571900618027318954,/GNSS,$GPGGA,218.0,31.1627693333,N,121.3073785,E,5,12,0.68,6.8,M,9.5,M,1,.0
1571900619027447603,24,1571900619027311802,/GNSS,$GPGGA,219.0,31.1627751667,N,121.307371,E,5,12,0.68,6.8,M,9.5,M,1,.0
1571900620027428911,25,1571900620027305365,/GNSS,$GPGGA,220.0,31.1627806667,N,121.307363333,E,5,12,0.72,6.8,M,9.5,M,1,.0
1571900621027496648,26,1571900621027304649,/GNSS,$GPGGA,221.0,31.162785,N,121.307355667,E,5,12,0.72,6.7,M,9.5,M,1,.0
1571900622027478664,27,1571900622027316570,/GNSS,$GPGGA,222.0,31.1627881667,N,121.307347333,E,5,12,0.72,6.7,M,9.5,M,1,.0
1571900623027466536,28,1571900623027323008,/GNSS,$GPGGA,223.0,31.1627911667,N,121.307338667,E,5,12,0.72,6.6,M,9.5,M,1,.0
1571900624027501518,29,1571900624027330399,/GNSS,$GPGGA,224.0,31.1627928333,N,121.307329833,E,5,12,0.72,6.6,M,9.5,M,1,.0
1571900625027467363,30,1571900625027308702,/GNSS,$GPGGA,225.0,31.1627938333,N,121.3073205,E,5,12,0.72,6.5,M,9.5,M,1,.0
1571900626027437567,31,1571900626027310848,/GNSS,$GPGGA,226.0,31.1627941667,N,121.307311,E,5,12,0.82,6.4,M,9.5,M,1,.0
1571900627027454344,32,1571900627027310610,/GNSS,$GPGGA,227.0,31.1627933333,N,121.307301833,E,5,12,0.72,6.4,M,9.5,M,1,.0
1571900628027505267,33,1571900628027308702,/GNSS,$GPGGA,228.0,31.1627913333,N,121.3072925,E,5,12,0.82,6.3,M,9.5,M,1,.0
1571900629027516623,34,1571900629027320385,/GNSS,$GPGGA,229.0,31.162789,N,121.307282833,E,5,12,0.82,6.2,M,9.5,M,1,.0
1571900630027538029,35,1571900630027329206,/GNSS,$GPGGA,230.0,31.1627865,N,121.307273,E,5,12,0.82,6.2,M,9.5,M,1,.0
1571900631027546801,36,1571900631027338982,/GNSS,$GPGGA,231.0,31.1627843333,N,121.307263,E,5,12,0.82,6.2,M,9.5,M,1,.0
1571900632027488045,37,1571900632027325153,/GNSS,$GPGGA,232.0,31.162783,N,121.307254333,E,5,12,0.82,6.2,M,9.5,M,1,.0
1571900633027505150,38,1571900633027330637,/GNSS,$GPGGA,233.0,31.1627815,N,121.307244833,E,5,12,0.82,6.1,M,9.5,M,1,.0
1571900634027464980,39,1571900634027337074,/GNSS,$GPGGA,234.0,31.1627801667,N,121.307234333,E,5,12,0.82,6.0,M,9.5,M,1,.0
1571900635027865629,40,1571900635027395248,/GNSS,$GPGGA,235.0,31.1627786667,N,121.307224167,E,5,12,0.95,6.0,M,9.5,M,1,.0
1571900636007490581,41,1571900636007337332,/GNSS,$GPGGA,236.0,31.1627775,N,121.307214167,E,2,12,1.22,6.0,M,9.5,M,1,.0
1571900637027443831,42,1571900637027328491,/GNSS,$GPGGA,237.0,31.162777,N,121.307204167,E,2,12,1.22,6.0,M,9.5,M,1,.0
1571900638027427120,43,1571900638027341604,/GNSS,$GPGGA,238.0,31.1627763333,N,121.307194333,E,2,12,1.22,5.9,M,9.5,M,1,.0
1571900639007408122,44,1571900639007292032,/GNSS,$GPGGA,239.0,31.1627753333,N,121.307185333,E,5,12,1.22,5.9,M,9.5,M,1,.0
1571900640027768998,45,1571900640027411461,/GNSS,$GPGGA,240.0,31.1627728333,N,121.307176333,E,2,12,1.22,5.8,M,9.5,M,1,.0
1571900641027569796,46,1571900641027372360,/GNSS,$GPGGA,241.0,31.1627696667,N,121.307167,E,5,12,1.22,5.9,M,9.5,M,1,.0
1571900642027498187,47,1571900642027328491,/GNSS,$GPGGA,242.0,31.1627666667,N,121.3071575,E,5,12,1.2,5.9,M,9.5,M,1,.0
1571900643027428331,48,1571900643027304888,/GNSS,$GPGGA,243.0,31.1627635,N,121.307147667,E,5,12,1.22,6.0,M,9.5,M,1,.0
1571900644027494703,49,1571900644027320147,/GNSS,$GPGGA,244.0,31.1627608333,N,121.307138167,E,5,12,1.37,6.0,M,9.5,M,1,.0
1571900645027446271,50,1571900645027294636,/GNSS,$GPGGA,245.0,31.1627581667,N,121.307128333,E,5,12,1.22,6.0,M,9.5,M,1,.0
1571900646027522049,51,1571900646027324200,/GNSS,$GPGGA,246.0,31.162755,N,121.307119,E,5,12,1.22,6.1,M,9.5,M,1,.0
1571900647027479005,52,1571900647027328491,/GNSS,$GPGGA,247.0,31.162751,N,121.30711,E,5,12,1.22,6.2,M,9.5,M,1,.0
